 N-H1 / A, N-H2 / A, energy A1 / Hartree, energy B1 / Hartree, energy B2 / Hartree, energy A2 / Hartree
    1.02236,    1.02236,   -286.1075216397,   -285.9209074078,   -285.9185001099,   -285.8691483579
        1.1,    1.02236,   -286.1034957189,   -285.9191381948,   -285.9145604610,   -285.8658960815
        1.1,        1.1,   -286.0995200629,   -285.9173479667,   -285.9107562812,   -285.8627045654
        1.2,    1.02236,   -286.0902077339,   -285.9101984728,   -285.9013097122,   -285.8541769010
        1.2,        1.1,   -286.0863215537,   -285.9083584878,   -285.8976918108,   -285.8510565822
        1.2,        1.2,   -286.0732500161,   -285.8991648008,   -285.8849248495,   -285.8394756163
        1.3,    1.02236,   -286.0726250175,   -285.9006550442,   -285.8837360411,   -285.8400148288
        1.3,        1.1,   -286.0688333246,   -285.8985712939,   -285.8803107986,   -285.8368635746
        1.3,        1.2,   -286.0558718011,   -285.8887498885,   -285.8678809823,   -285.8251885521
        1.3,        1.3,   -286.0385980294,   -285.8769826061,   -285.8513467968,   -285.8108211955
        1.4,    1.02236,   -286.0539298926,   -285.8961128977,   -285.8652621737,   -285.8276223512
        1.4,        1.1,   -286.0503243683,   -285.8934960220,   -285.8621305348,   -285.8245913056
        1.4,        1.2,   -286.0374747594,   -285.8824612800,   -285.8500870884,   -285.8131070393
        1.4,        1.3,   -286.0203473180,   -285.8686157826,   -285.8342786202,   -285.8007428814
        1.5,    1.02236,   -286.0381481658,   -285.8964087454,   -285.8512549301,   -285.8149297180
        1.5,        1.1,   -286.0351984743,   -285.8935156177,   -285.8487773479,   -285.8117999118
        1.5,        1.2,   -286.0228605934,   -285.8815077485,   -285.8373507055,   -285.7999139253
