sin(CooNH2), energy A1 / Hartree, energy B1 / Hartree, energy B2 / Hartree
    0.000000000000000,   -286.0945184995,   -285.9453200579,   -285.9159186745
    0.099833405421929,   -286.0946160874,   -285.9451632470,   -285.9159720676
    0.198669325656488,   -286.0948913550,   -285.9446852195,   -285.9161173512
    0.295520206694974,   -286.0952977849,   -285.9438681399,   -285.9163148242
    0.389418341146122,   -286.0957598444,   -285.9426819338,   -285.9165005676
    0.479425533550522,   -286.0961772363,   -285.9410853329,   -285.9165904464
    0.564642480000938,   -286.0964290741,   -285.9390263897,   -285.9164838961
    0.644217692061205,   -286.0963781282,   -285.9364431926,   -285.9160674188
    0.717356091318516,   -286.0958748208,   -285.9332644286,   -285.9152173255
    0.783326910314764,   -286.0947612197,   -285.9294106606,   -285.9138021857
    0.841470988908286,   -286.0928754254,   -285.9247964644,   -285.9116855513
    0.891207363211356,   -286.0900565561,   -285.9193334332,   -285.9087299172
    0.932039085092967,   -286.0861497021,   -285.9129327693,   -285.9048018656
    0.963558184055277,   -286.0810096211,   -285.9055065051,   -285.8997769897
    0.985449729483366,   -286.0745033314,   -285.8969683290,   -285.8935435329
    0.997494986981445,   -286.0665138013,   -285.8872366394,   -285.8860060580
