cos(H-N-H), energy A2 / Hartree
   -0.978952946412066,   -285.8013556887
   -0.953687648674468,   -285.8139821771
   -0.918893419615337,   -285.8254518917
   -0.874917912050515,   -285.8356715553
   -0.822200517171541,   -285.8445490961
   -0.761267961726681,   -285.8519955113
   -0.692729061005608,   -285.8579280149
   -0.617268652369609,   -285.8622715016
   -0.535640696655858,   -285.8649588227
   -0.448660552147955,   -285.8659277742
   -0.357198023526339,   -285.8651181483
   -0.262166246026937,   -285.8624623296
   -0.164514986000456,   -285.8578837655
   -0.065219957107510,   -285.8512924991
    0.034726735065856,   -285.8425905852
    0.134326446277606,   -285.8316759475
    0.232584014747921,   -285.8184451288
    0.328517680947979,   -285.8027823368
    0.421168904217647,   -285.7845313606
    0.509611948964990,   -285.7634490897
